areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate,cumPeopleVaccinatedCompleteByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate
E92000001,England,nation,2020-12-13,1627370,63501,,56734,
E92000001,England,nation,2020-12-12,1609243,63060,,50553,
E92000001,England,nation,2020-12-11,1593213,62610,,39942,
E92000001,England,nation,2020-12-10,1573352,62148,,27314,
E92000001,England,nation,2020-12-09,1554812,61701,,15274,
E92000001,England,nation,2020-12-08,1537350,61280,,5467,
E92000001,England,nation,2020-12-07,1520685,60850,,,
E92000001,England,nation,2020-12-06,1503292,60445,,,
E92000001,England,nation,2020-12-05,1492425,60034,,,
E92000001,England,nation,2020-12-04,1482285,59639,,,
E92000001,England,nation,2020-12-03,1469400,59174,,,
E92000001,England,nation,2020-12-02,1456874,58724,,,
E92000001,England,nation,2020-12-01,1443412,58330,,,
E92000001,England,nation,2020-11-30,1429890,57932,,,
E92000001,England,nation,2020-11-29,1414862,57518,,,
E92000001,England,nation,2020-11-28,1405957,57066,,,
E92000001,England,nation,2020-11-27,1396754,56642,,,
E92000001,England,nation,2020-11-26,1384487,56230,,,
E92000001,England,nation,2020-11-25,1372211,55807,,,
E92000001,England,nation,2020-11-24,1358282,55335,,,
E92000001,England,nation,2020-11-23,1344253,54891,,,
E92000001,England,nation,2020-11-22,1328047,54452,,,
E92000001,England,nation,2020-11-21,1318009,54012,,,
E92000001,England,nation,2020-11-20,1307394,53587,,,
E92000001,England,nation,2020-11-19,1292717,53162,,,
E92000001,England,nation,2020-11-18,1277223,52736,,,
E92000001,England,nation,2020-11-17,1259013,52273,,,
E92000001,England,nation,2020-11-16,1238689,51876,,,
E92000001,England,nation,2020-11-15,1214966,51492,,,
E92000001,England,nation,2020-11-14,1200757,51093,,,
E92000001,England,nation,2020-11-13,1184723,50706,,,
E92000001,England,nation,2020-11-12,1163075,50330,,,
E92000001,England,nation,2020-11-11,1141128,49958,,,
E92000001,England,nation,2020-11-10,1116488,49625,,,
E92000001,England,nation,2020-11-09,1092020,49289,,,
E92000001,England,nation,2020-11-08,1063921,48861,,,
E92000001,England,nation,2020-11-07,1045956,48505,,,
E92000001,England,nation,2020-11-06,1029339,48146,,,
E92000001,England,nation,2020-11-05,1008513,47795,,,
E92000001,England,nation,2020-11-04,987638,47469,,,
E92000001,England,nation,2020-11-03,966942,47179,,,
E92000001,England,nation,2020-11-02,944633,46875,,,
E92000001,England,nation,2020-11-01,916704,46576,,,
E92000001,England,nation,2020-10-31,903339,46279,,,
E92000001,England,nation,2020-10-30,888996,45986,,,
E92000001,England,nation,2020-10-29,869352,45691,,,
E92000001,England,nation,2020-10-28,849384,45428,,,
E92000001,England,nation,2020-10-27,829151,45185,,,
E92000001,England,nation,2020-10-26,808662,44959,,,
E92000001,England,nation,2020-10-25,785911,44732,,,
E92000001,England,nation,2020-10-24,772750,44520,,,
E92000001,England,nation,2020-10-23,759230,44337,,,
E92000001,England,nation,2020-10-22,741129,44143,,,
